step,model_name,quant_method,weight_bits,activation_bits,kv_cache_bits,data_ms,preprocess_ms,vision_ms,llm_ms,action_ms,model_latency_ms,end_to_end_latency_ms
0,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.06688199937343597,98.5397570184432,6.736223003827035,101.03868300211616,0.16999899526126683,107.94490500120446,206.5515440190211
1,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05390599835664034,5.837764008902013,8.122378989355639,101.4272440224886,0.1446329988539219,109.69425601069815,115.58592601795681
2,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.047823996283113956,2.3661309969611466,6.226087978575379,101.18149599293247,0.16796900308690965,107.57555297459476,109.98950796783902
3,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05761999636888504,95.81123798852786,6.690311012789607,101.09760696650483,0.17158800619654357,107.95950598549098,203.82836397038773
4,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05937399691902101,8.620937005616724,7.823913008905947,101.29501999472268,0.1743909961078316,109.29332399973646,117.9736350022722
5,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05869902088306844,2.973232010845095,6.2922899960540235,101.13045500474982,0.16606500139459968,107.58881000219844,110.6207410339266
6,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.055679993238300085,3.0729259888175875,6.253708997974172,101.38453397667035,0.1451740099582821,107.78341698460281,110.9120229666587
7,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.047469016863033175,65.37559098796919,6.463422003434971,100.61955099808984,0.1773450057953596,107.26031800732017,172.6833780121524
8,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.057994009694084525,15.28047100873664,6.695174990454689,101.22474303352647,0.16441699699498713,108.08433502097614,123.42280003940687
9,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.052050017984583974,2.9871580190956593,6.348975992295891,101.32208801223896,0.13511700672097504,107.80618101125583,110.84538904833607
10,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.0472610117867589,94.52352399239317,6.590146018425003,100.9034119779244,0.15327500295825303,107.64683299930766,202.2176180034876
11,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05454599158838391,92.21772299497388,7.075027009705082,100.92513498966582,0.17040700186043978,108.17056900123134,200.4428379877936
12,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05376100307330489,94.73692800384015,6.687815999612212,101.20876500150189,0.17252599354833364,108.06910699466243,202.8597960015759
13,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05792401498183608,94.56400500494055,8.343698980752379,100.94185403431766,0.17432798631489277,109.45988100138493,204.08181002130732
14,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05574000533670187,96.45088098477572,6.346523994579911,101.00863798288628,0.1754910044837743,107.53065298194997,204.0372739720624
15,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05535801756195724,3.060737974010408,6.36882201069966,101.24608399928547,0.17538198153488338,107.79028799152002,110.90638398309238
16,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05831001908518374,102.04286299995147,6.390688009560108,101.04600398335606,0.17188501078635454,107.60857700370252,209.70975002273917
17,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05289600812830031,64.63547400198877,7.669085985980928,101.19599004974589,0.1792849798221141,109.04436101554893,173.732731025666
18,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05838798824697733,2.2865439823362976,6.315370992524549,100.92891697422601,0.1474590098951012,107.39174697664566,109.73667894722894
19,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.049281021347269416,2.7282160008326173,6.1964080086909235,101.51989400037564,0.175017979927361,107.89131998899393,110.66881701117381
20,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05465501453727484,76.46724799997173,6.585767987417057,101.19535800185986,0.1721310254652053,107.95325701474212,184.47516002925113
21,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.055276002967730165,95.87150302832015,6.3771799905225635,101.13220004132017,0.17262998153455555,107.6820100133773,203.60878904466517
22,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05205799243412912,96.17905100458302,6.839424022473395,100.98132901475765,0.17549097537994385,107.99624401261099,204.22735300962813
23,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05297298775985837,2.9889529978390783,6.296350999036804,101.19600599864498,0.17760900664143264,107.66996600432321,110.71189198992215
24,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05440899985842407,96.10692798742093,6.372296018525958,101.22131899697706,0.15633998555131257,107.74995500105433,203.9112919883337
25,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05286402301862836,92.95108797959983,6.748195010004565,100.72675798437558,0.17505898722447455,107.65001198160462,200.65396398422308
26,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05344802048057318,2.5836819841060787,6.3264810014516115,101.32079396862537,0.15948200598359108,107.80675697606057,110.44388698064722
27,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05238500307314098,98.52306899847463,8.542680006939918,101.11785397748463,0.16895000590011477,109.82948399032466,208.40493799187243
28,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.053471012506634,2.4472730001434684,6.280155008425936,101.53067001374438,0.14471198664978147,107.9555370088201,110.4562810214702
29,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.04961600643582642,2.416165021713823,6.631148979067802,101.16400301922113,0.15887600602582097,107.95402800431475,110.4198090324644
30,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05320599302649498,2.7514660032466054,6.66572101181373,100.8960239996668,0.16054799198172987,107.72229300346226,110.52696499973536
31,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05490699550136924,98.17681400454603,6.548630975885317,101.39943100512028,0.18251599976792932,108.13057798077352,206.36229898082092
32,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.0573239813093096,2.226861019153148,6.355601974064484,101.13389007165097,0.1850229746196419,107.6745150203351,109.95870002079755
33,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.062463979702442884,22.856391995446756,6.3367489783558995,101.17212004843168,0.19779198919422925,107.70666101598181,130.625516991131
34,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.061277998611330986,98.75125100370497,6.729107990395278,101.40266601229087,0.203492003493011,108.33526600617915,207.14779500849545
35,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05909500760026276,96.53089099447243,6.394012016244233,101.17717299726792,0.19154700567014515,107.7627320191823,204.352718021255
36,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.06298499647527933,95.76983901206404,6.438191019697115,101.36980196693912,0.20721601322293282,108.01520899985917,203.8480330083985
37,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.06138798198662698,44.8596749920398,6.374829012202099,101.27876698970795,0.16304600285366178,107.81664200476371,152.73770497879013
38,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05559399141930044,2.3844489769544452,6.290371995419264,101.50262498063967,0.1778690202627331,107.97086599632166,110.41090896469541
39,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05445300485007465,2.792271989164874,6.71678499202244,101.24272500979714,0.1520549994893372,108.11156500130892,110.95828999532387
40,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05299400072544813,2.8110369748901576,6.248974008485675,101.11796401906759,0.16259599942713976,107.5295340269804,110.393565002596
41,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.052580988267436624,95.93396401032805,6.720551988109946,101.22493299422786,0.16588601283729076,108.1113709951751,204.09791599377058
42,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05230499664321542,5.134839011589065,6.2959479982964694,101.04849800700322,0.17260099411942065,107.51704699941911,112.70419100765139
43,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05438900552690029,95.92376399086788,6.764008983736858,101.0023970156908,0.16790200606919825,107.93430800549686,203.91246100189164
44,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.060999998822808266,95.7674160017632,6.432431022403762,100.94101697904989,0.18180598272010684,107.55525398417376,203.38366998475976
45,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.06193100125528872,85.71457999642007,6.8100249918643385,100.99659499246627,0.1727030030451715,107.97932298737578,193.75583398505114
46,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05717400927096605,96.30136901978403,8.19657399551943,101.46257601445541,0.17295600264333189,109.83210601261817,206.19064904167317
47,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05808201967738569,55.278743006056175,6.707168999128044,101.4084340131376,0.17265099450014532,108.28825400676578,163.62507903249934
48,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05859800148755312,16.953113983618096,6.378663005307317,101.46526401513256,0.17454498447477818,108.01847200491466,125.0301839900203
49,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.054146978072822094,3.0292579904198647,6.8589349975809455,101.20475399889983,0.1689600176177919,108.23264901409857,111.31605398259126
50,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05169800715520978,90.45292198425159,6.671623996226117,101.13724099937826,0.16753000090830028,107.97639499651268,198.48101498791948
51,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05784598761238158,102.9658520128578,6.5398020087741315,101.24202599399723,0.15123499906621873,107.93306300183758,210.95676100230776
52,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.052817020332440734,3.249030007282272,6.254802021430805,101.33997097727843,0.17488101730123162,107.76965401601046,111.07150104362518
53,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05614798283204436,61.84899099753238,7.617558003403246,101.26023000339046,0.1718660059850663,109.04965401277877,170.9547929931432
54,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05262999911792576,94.60165799828246,6.4174650178756565,100.84320296300575,0.17028400907292962,107.43095198995434,202.08523998735473
55,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.053333991672843695,3.266652987804264,6.306707015028223,101.19620498153381,0.19165099365636706,107.6945629902184,111.01454996969551
56,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.060749007388949394,2.838617976522073,6.715497991535813,101.55910599860363,0.1671799982432276,108.44178398838267,111.34115097229369
57,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.056541000958532095,2.7374610072001815,6.295883998973295,101.23488001408987,0.17556999227963388,107.7063340053428,110.50033601350151
58,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05488097667694092,99.9866979836952,10.670577990822494,101.34705505333841,0.18988197552971542,112.20751501969062,212.24909398006275
59,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05364601383917034,2.744674013229087,6.728503998601809,101.11229197354987,0.17461000243201852,108.0154059745837,110.81372600165196
60,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05531602073460817,93.9080280077178,8.475923008518293,101.25241000787355,0.16361998859792948,109.89195300498977,203.85529703344218
61,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05766900721937418,3.444500995101407,6.841182999778539,101.172050985042,0.1618380192667246,108.17507200408727,111.67724200640805
62,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05540801794268191,25.68569697905332,6.659620004938915,101.14031098783016,0.17105400911532342,107.9709850018844,133.7120899988804
63,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05293102003633976,18.586752994451672,6.419725017622113,101.44984297221527,0.1604979916010052,108.03006598143838,126.6697499959264
64,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05162198795005679,96.05748899048194,6.599307991564274,100.95529901445843,0.17297701560892165,107.72758402163163,203.83669500006363
