step,model_name,quant_method,weight_bits,activation_bits,kv_cache_bits,data_ms,preprocess_ms,vision_ms,llm_ms,action_ms,model_latency_ms,end_to_end_latency_ms
0,openvla-7b-finetuned-libero-spatial:fp16,fp16,16,16,16,0.05676300497725606,96.68812499148771,6.441587000153959,100.89534599683248,0.1770659873727709,107.5139989843592,204.25888698082417
1,openvla-7b-finetuned-libero-spatial:fp16,fp16,16,16,16,0.06217000191099942,96.02949497639202,6.565084011526778,100.83704799762927,0.16954398597590625,107.57167599513195,203.66334097343497
2,openvla-7b-finetuned-libero-spatial:fp16,fp16,16,16,16,0.0620420032646507,2.144360012607649,6.52935600373894,100.86951998528093,0.17657701391726732,107.57545300293714,109.78185501880944
3,openvla-7b-finetuned-libero-spatial:fp16,fp16,16,16,16,0.06126199150457978,102.44992497609928,6.719775992678478,98.12126398901455,0.18437800463289022,105.02541798632592,207.53660495392978
4,openvla-7b-finetuned-libero-spatial:fp16,fp16,16,16,16,0.07007902604527771,3.88226899667643,6.301237008301541,98.08609302854165,0.1621699775569141,104.54950001440011,108.50184803712182
0,openvla-7b-finetuned-libero-spatial:bnb_int8,bitsandbytes-Linear8bitLt,8,8,16,0.059626996517181396,2.664102998096496,6.8398780131246895,162.8702119924128,0.15731900930404663,169.86740901484154,172.59113900945522
1,openvla-7b-finetuned-libero-spatial:bnb_int8,bitsandbytes-Linear8bitLt,8,8,16,0.05839101504534483,2.594424004200846,6.460311007685959,159.7686630266253,0.16090998542495072,166.3898840197362,169.0426990389824
2,openvla-7b-finetuned-libero-spatial:bnb_int8,bitsandbytes-Linear8bitLt,8,8,16,0.060816993936896324,2.290873002493754,6.406778993550688,159.14535598130897,0.16827401123009622,165.72040898608975,168.0720989825204
3,openvla-7b-finetuned-libero-spatial:bnb_int8,bitsandbytes-Linear8bitLt,8,8,16,0.06227099220268428,2.300727996043861,6.552103004651144,160.46972401090898,0.15777599764987826,167.17960301321,169.54260200145654
4,openvla-7b-finetuned-libero-spatial:bnb_int8,bitsandbytes-Linear8bitLt,8,8,16,0.06060799933038652,2.1927449852228165,6.663929991191253,160.57397300028242,0.16521700308658183,167.40311999456026,169.65647297911346
