step,model_name,quant_method,weight_bits,activation_bits,kv_cache_bits,data_ms,preprocess_ms,vision_ms,llm_ms,action_ms,model_latency_ms,end_to_end_latency_ms
0,openvla-7b-finetuned-libero-spatial:fp16,fp16,16,16,16,0.06475299596786499,4.090564994839951,6.381235987646505,99.42312401835807,0.1831499976105988,105.98751000361517,110.14282799442299
1,openvla-7b-finetuned-libero-spatial:fp16,fp16,16,16,16,0.0664730032440275,2.7483159792609513,6.323459994746372,99.920741020469,0.15837798127904534,106.40257899649441,109.21736797899939
2,openvla-7b-finetuned-libero-spatial:fp16,fp16,16,16,16,0.059815996792167425,98.3505450130906,6.514720997074619,99.876951018814,0.16905099619179964,106.56072301208042,204.97108402196318
3,openvla-7b-finetuned-libero-spatial:fp16,fp16,16,16,16,0.06734699127264321,2.2577229829039425,6.390094000380486,99.9308269820176,0.1617640082258731,106.48268499062397,108.80775496480055
4,openvla-7b-finetuned-libero-spatial:fp16,fp16,16,16,16,0.061305006965994835,2.154662011889741,6.3929769967217,100.47946602571756,0.16382898320443928,107.0362720056437,109.25223902449943
0,openvla-7b-finetuned-libero-spatial:bnb_int8,bitsandbytes-Linear8bitLt,8,8,16,0.059237994719296694,5.239558988250792,6.641040003160015,167.29673597728834,0.16626101569272578,174.10403699614108,179.40283397911116
1,openvla-7b-finetuned-libero-spatial:bnb_int8,bitsandbytes-Linear8bitLt,8,8,16,0.0692100147716701,103.90572599135339,6.806991994380951,165.19474901724607,0.16987798153422773,172.17161899316125,276.1465549992863
2,openvla-7b-finetuned-libero-spatial:bnb_int8,bitsandbytes-Linear8bitLt,8,8,16,0.06571199628524482,2.925861976109445,6.732359994202852,161.598891048925,0.15828898176550865,168.48954002489336,171.48111399728805
3,openvla-7b-finetuned-libero-spatial:bnb_int8,bitsandbytes-Linear8bitLt,8,8,16,0.061219994677230716,95.79952101921663,6.923392997123301,164.31484001805075,0.17810898134484887,171.4163419965189,267.27708301041275
4,openvla-7b-finetuned-libero-spatial:bnb_int8,bitsandbytes-Linear8bitLt,8,8,16,0.06883501191623509,92.45243601617403,8.328702999278903,168.3486649999395,0.15406397869810462,176.8314319779165,269.3527030060068
