step,model_name,quant_method,weight_bits,activation_bits,kv_cache_bits,data_ms,preprocess_ms,vision_ms,llm_ms,action_ms,model_latency_ms,end_to_end_latency_ms
0,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.07948800339363515,98.11532398452982,6.84566400013864,44.56324799684808,0.1550670131109655,51.56397901009768,149.75879099802114
1,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.06034699617885053,2.2185079869814217,6.339887011563405,44.50455796904862,0.13754499377682805,50.98198997438885,53.260844957549125
2,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05512600182555616,2.174017979996279,6.394162977812812,44.90829701535404,0.1757980207912624,51.47825801395811,53.707401995779946
3,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.06846501491963863,2.2587540152017027,6.400596001185477,44.453917973442,0.13149302685633302,50.98600700148381,53.313226031605154
4,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.056527002016082406,2.0911669998895377,6.582726025953889,43.948308972176164,0.1510620058979839,50.68209700402804,52.82979100593366
5,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05630499799735844,2.160739997634664,6.455292023019865,43.96186798112467,0.1281950098928064,50.54535501403734,52.76240000966936
6,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05410800804384053,96.11499699531123,6.687896006042138,44.05448699253611,0.14401599764823914,50.88639899622649,147.05550399958156
7,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05856200004927814,2.1064860047772527,6.614732003072277,44.117605983046815,0.1587730075698346,50.891110993688926,53.05615899851546
8,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.06106001092121005,95.93235800275579,6.763634999515489,44.303593022050336,0.15102900215424597,51.21825702372007,147.21167503739707
9,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05998500273562968,95.7771500106901,6.622935994528234,44.63714800658636,0.15882498701103032,51.41890898812562,147.25604400155134
