step,model_name,quant_method,weight_bits,activation_bits,kv_cache_bits,data_ms,preprocess_ms,vision_ms,llm_ms,action_ms,model_latency_ms,end_to_end_latency_ms
0,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05944000440649688,2.7146129868924618,6.430562993045896,102.54930896917358,0.17365202074870467,109.15352398296818,111.92757697426714
1,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.06792400381527841,98.21333998115733,6.417042022803798,102.34565698192455,0.16181200044229627,108.92451100517064,207.20577499014325
2,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.0595889869146049,95.59797999099828,6.677805009530857,102.0269559812732,0.17488401499576867,108.87964500579983,204.53721398371272
3,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05757500184699893,2.2837319993413985,6.390227994415909,101.63641901453957,0.16528100240975618,108.19192801136523,110.53323501255363
4,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.059707992477342486,2.2402819886337966,6.466679013101384,102.10329995607026,0.17463901895098388,108.74461798812263,111.04460796923377
0,openvla-7b-finetuned-libero-spatial:bnb_int8,bitsandbytes-Linear8bitLt,8,8,16,0.06092901458032429,3.7671090103685856,6.7734019830822945,177.6819979713764,0.1684760209172964,184.623875975376,188.4519140003249
1,openvla-7b-finetuned-libero-spatial:bnb_int8,bitsandbytes-Linear8bitLt,8,8,16,0.06507898797281086,62.920484982896596,8.055148995481431,176.02098701172508,0.22432400146499276,184.3004600086715,247.28602397954091
2,openvla-7b-finetuned-libero-spatial:bnb_int8,bitsandbytes-Linear8bitLt,8,8,16,0.060071994084864855,2.3664610052946955,6.496988993603736,177.87097301334143,0.16827299259603024,184.5362349995412,186.96276799892075
3,openvla-7b-finetuned-libero-spatial:bnb_int8,bitsandbytes-Linear8bitLt,8,8,16,0.06050098454579711,2.7595889987424016,6.417242984753102,179.76539602386765,0.16375500126741827,186.34639400988817,189.16648399317637
4,openvla-7b-finetuned-libero-spatial:bnb_int8,bitsandbytes-Linear8bitLt,8,8,16,0.058784004068002105,2.167569997254759,6.589875993086025,178.57154103694484,0.16688197501935065,185.3282990050502,187.55465300637297
