step,model_name,quant_method,weight_bits,activation_bits,kv_cache_bits,data_ms,preprocess_ms,vision_ms,llm_ms,action_ms,model_latency_ms,end_to_end_latency_ms
0,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.07074399036355317,2.3504989803768694,6.490997999208048,89.94946800521575,0.17527499585412443,96.61574100027792,99.03698397101834
1,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.06134298746474087,2.337436017114669,6.640334991971031,89.22245301073417,0.16772100934758782,96.03050901205279,98.4292880166322
2,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.06019999273121357,96.47075698012486,6.668982008704916,89.28826899500564,0.160781986778602,96.11803299048916,192.64898996334523
3,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.06290400051511824,2.180485986173153,6.504626013338566,89.07044699299149,0.17086099251173437,95.74593399884179,97.98932398553006
4,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05812101881019771,2.3854169994592667,6.358332000672817,89.32937399367802,0.16140201478265226,95.84910800913349,98.29264602740295
5,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.056195014622062445,2.3639050195924938,6.352463009534404,89.20250399387442,0.15085001359693706,95.70581701700576,98.12591705122031
6,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05266498192213476,2.3678040015511215,6.323990994133055,89.16377098648809,0.1654490188229829,95.65321099944413,98.07367998291738
7,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.06240999209694564,2.4460919958073646,6.398356985300779,89.0125559817534,0.14709102106280625,95.55800398811698,98.06650597602129
8,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05635799607262015,95.64496201346628,6.691704009426758,88.91473701805808,0.16339498688466847,95.7698360143695,191.4711560239084
9,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.06166999810375273,5.535739997867495,6.587818003026769,89.39477399690077,0.1629719918128103,96.14556399174035,101.7429739877116
