step,model_name,quant_method,weight_bits,activation_bits,kv_cache_bits,data_ms,preprocess_ms,vision_ms,llm_ms,action_ms,model_latency_ms,end_to_end_latency_ms
0,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05967801553197205,95.75749898795038,5.9872380224987864,99.26946996711195,0.11441099923104048,105.37111898884177,201.18829599232413
1,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05458702798932791,4.3716390209738165,5.724988004658371,99.72241698415019,0.11123501462861896,105.55864000343718,109.98486605240032
2,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.0525499926880002,4.790356993908063,5.627196020213887,99.65899898088537,0.11459700181148946,105.40079200291075,110.24369898950681
3,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.054472009651362896,4.596105980454013,5.675123014952987,99.91029999218881,0.12099600280635059,105.70641900994815,110.35699700005352
4,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.055226002587005496,4.641954990802333,5.694974010111764,99.73586298292503,0.11373299639672041,105.54456998943351,110.24175098282285
5,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.0552500132471323,95.96273201168515,5.814065982121974,99.57139502512291,0.114111986476928,105.49957299372181,201.5175550186541
6,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05426697316579521,4.393559996969998,5.703656992409378,98.88158302055672,0.11314600124023855,104.69838601420633,109.14621298434213
7,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05366699770092964,79.52573100919835,5.963621981209144,98.6904320307076,0.11645100312307477,104.77050501503982,184.3499030219391
8,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.06048299837857485,6.058766011847183,5.684185976861045,99.36461204779334,0.11629000073298812,105.16508802538738,111.28433703561313
9,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05512998905032873,11.934217996895313,5.690504010999575,98.94340400933288,0.11087098391726613,104.74477900424972,116.73412699019536
10,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.052772986236959696,6.020216009346768,5.872740992344916,100.11714202119038,0.11767199612222612,106.10755500965752,112.18054400524125
